alph1,alph2,alph3,bp,weight
1.732050808,-1,-1,0,0.041666667
1.732050808,-1,0,-1,0.041666667
1.732050808,-1,0,0,-0.25
1.732050808,-1,0,1,0.041666667
1.732050808,-1,1,0,0.041666667
1.732050808,0,-1.732050808,0,0.027777778
1.732050808,0,-1,-1,0.041666667
1.732050808,0,-1,0,-0.25
1.732050808,0,-1,1,0.041666667
1.732050808,0,0,-1.732050808,0.027777778
1.732050808,0,0,-1,-0.25
1.732050808,0,0,0,0.833333333
1.732050808,0,0,1,-0.25
1.732050808,0,0,1.732050808,0.027777778
1.732050808,0,1,-1,0.041666667
1.732050808,0,1,0,-0.25
1.732050808,0,1,1,0.041666667
1.732050808,0,1.732050808,0,0.027777778
1.732050808,1,-1,0,0.041666667
1.732050808,1,0,-1,0.041666667
1.732050808,1,0,0,-0.25
1.732050808,1,0,1,0.041666667
1.732050808,1,1,0,0.041666667
1.732050808,1.732050808,0,0,0.027777778
2.334414218,-1,0,0,0.022937927
2.334414218,0,-1,0,0.022937927
2.334414218,0,0,-1,0.022937927
2.334414218,0,0,0,-0.137627564
2.334414218,0,0,1,0.022937927
2.334414218,0,1,0,0.022937927
2.334414218,1,0,0,0.022937927
2.856970014,0,0,0,0.011257411
