Metodo,Tiempo,Exito de la optimizacion,Número de iteraciones,Valor de la función en el óptimo,Punto inicial para todas las variables
Nelder-Mead,67.0151641368866,False,22117,7274.864038002054,0
BFGS,32.48021173477173,False,100,6754.766002869081,0
L-BFGS-B,12.567660570144653,True,72,6754.766035409438,0
Nelder-Mead,41.26476740837097,True,72,6754.766035409438,1
BFGS,25.2342586517334,True,72,6754.766035409438,1
L-BFGS-B,12.628458499908447,True,72,6754.766035409438,1
Nelder-Mead,62.59544348716736,True,72,6754.766035409438,-1
BFGS,39.72772264480591,True,72,6754.766035409438,-1
L-BFGS-B,8.104368686676025,True,72,6754.766035409438,-1
