alph1,alph2,alph3,bp,bf,gamma1,gamma2,lambda1,lambda2,valor_opt,Metodo,AIC,Indice Verosimilitud,nest_est,nest1,nest2,nest3,nest4,alph1_0,alph2_0,alph3_0,bp_0,bf_0,gamma1_0,gamma2_0,alph1_SE,alph2_SE,alph3_SE,bp_SE,bf_SE,gamma1_SE,gamma2_SE,ee_lambda1,ee_lambda2
1.3816686538767387,0.8394215960835623,-1.6585027450299747,-26.581116140129467,0.3744687426584108,0.5900859872969636,,0.6433848749299195,1.0,-2653.7645999847346,trust-constr,5319.529199969469,0.23595852124430516,"(3,1)",1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0720507959107805,0.07529829920287999,0.4338450546424292,3.883577082414417,0.0998429893746901,0.4391989808975726,,0.10077015571641929,
1.387751975646264,0.6435043010957445,-3.086115039031745,-37.05788787045623,0.48741313688569887,13.963821384754779,,0.9999991378376534,1.0,-2658.55670630152,trust-constr,5329.11341260304,0.2887929150761078,"(3,1)",1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.08805019801916154,0.054480814846837804,0.14491099450230804,2.399480077458431,0.11992119054167973,337.1710064113223,,0.00029069589545866446,
1.340860345034793,0.5918957016673222,-2.9485862817910884,-36.00387625871796,0.48401240880937807,2.83719010140832,,0.9446527330522821,1.0,-2658.4564238415987,trust-constr,5328.9128476831975,0.17987303037505564,"(3,1)",1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.13448450751150381,0.12415107376898493,0.3308307911583849,3.330045884136852,0.11672553228827583,2.2934768144390585,,0.11991202018694415,
1.3877527138582886,0.6435045598315906,-3.0861137245409003,-37.05792541678945,0.48741356585350504,14.284671825484484,,0.9999993744736934,1.0,-2658.5567082656494,trust-constr,5329.113416531299,0.19937898517748776,"(3,1)",2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.08804982999623512,0.054480633385162146,0.1449116151312052,2.39946213847798,0.11992115872522381,304.84785970545283,,0.00019069023647431984,
1.3816679672087957,0.8394227456648353,-1.6584933447933337,-26.58102843392525,0.3744679914549798,0.5900766991376664,,0.6433827438445894,1.0,-2653.764599984856,trust-constr,5319.529199969712,0.2359585212442702,"(3,1)",1,1,1,2,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.07205068395441136,0.07529822320394901,0.4338443355129853,3.8835715948762157,0.09984283135788954,0.43919698183418254,,0.1007699654545719,
1.3877515738365271,0.6435040535613201,-3.0861157860879787,-37.05787871861162,0.48741224509893477,13.501705869014604,,0.9999986313794698,1.0,-2658.556711468759,trust-constr,5329.113422937518,0.28879291369378746,"(3,1)",1,1,2,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.08805064523481,0.054480972840211396,0.14491101195591968,2.3994914984686218,0.11992120778927545,267.60857971792825,,0.000366254095006186,
1.3408517977909342,0.5918878993235384,-2.9485641553490325,-36.00366602162741,0.48401263039080067,2.837033028372941,,0.9446445200804255,1.0,-2658.456423843196,trust-constr,5328.912847686392,0.17987303037456304,"(3,1)",1,2,1,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.1344800615683766,0.12414527912682445,0.3308152672383365,3.3299565739905046,0.11672498099138486,2.2930250172807853,,0.11990514618319624,
1.3877537377304925,0.6435050197088688,-3.0861154119174437,-37.057936486917704,0.4874137359577382,27.889802250186484,,0.9999999999992281,1.0,-2658.5566975051443,trust-constr,5329.1133950102885,0.1993789884180004,"(3,1)",2,1,1,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.0880494664837814,0.054480547915791364,0.14491102377691598,2.3994616953289527,0.11992118086276969,238625.9984527117,,1.842173539582972e-07,
1.3816607396655787,0.8393626654394246,-1.6588483242544751,-26.58326881205935,0.3744493980070886,0.5903232761869864,,0.6434393168248052,1.0,-2653.7646010516305,L-BFGS-B,5319.529202103261,0.23595852093713665,"(3,1)",1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0720529881989194,0.07529155081689737,0.43380237442730735,3.8830357934271595,0.09983968354779041,0.43915909161431865,,0.10075414590814752,
1.3876502844294403,0.6434428390693069,-3.0861761680149686,-37.055447292958476,0.48734950140780103,9.19681537959901,,0.9998986485862674,1.0,-2658.557731757267,L-BFGS-B,5329.115463514534,0.2887926407500455,"(3,1)",1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.08813814604679605,0.054512178977577305,0.144910478801585,2.401719656657562,0.11992359912433632,31.08622009394536,,0.0031503130330811924,
