alph1,alph2,alph3,bp,bf,gamma1,gamma2,valor_opt,alph1_0,alph2_0,alph3_0,bp_0,bf_0,gamma1_0,gamma2_0,Metodo,AIC,Indice Verosimilitud,alph1_SE,alph2_SE,alph3_SE,bp_SE,bf_SE,gamma1_SE,gamma2_SE,ee_lambda1,ee_lambda2,nest1,nest2,nest3,nest4,nest_est,lambda1,lambda2
1.3084058498012106,0.7343623895409946,-1.9296099519108687,-28.195899441842364,0.3870835859036228,0.8551710833485745,0.10107810684528121,-2654.0983981494564,1.38,0.83,-1.65,-26.58,0.37,0.59,1,trust-constr,5322.196796298913,0.2121286837363041,0.07906195644622184,0.06978009868163043,0.316365599491447,3.7797238421237367,0.10208940259260887,0.5072277843217772,0.48185519455548254,0.10618152614782951,0.12015663366899221,1,1,2,2,"(2,2)",0.7016507689202709,0.5252480342287752
1.3812610320557341,0.6423063952313965,-2.8470992787520184,-36.50922828023459,0.49152498504162984,2.215672656297198,35.30639468734261,-2658.396633180259,1.38,0.83,-1.65,-26.58,0.37,0.59,1,trust-constr,5330.793266360518,0.21085274909360574,0.08836023340930521,0.05449797752838566,0.41332263064832714,2.574759125523103,0.1180819869732855,1.800025130645443,1960474.0395937997,0.15962404856136223,9.09889612752744e-10,1,2,1,2,"(2,2)",0.9016481185163062,0.9999999999999996
1.2704377184248825,0.5967302741406517,-1.9551089729686533,-33.755283555760435,0.4404342829845746,2.401161252169994,0.24406399993467576,-2652.8512628377466,1.38,0.83,-1.65,-26.58,0.37,0.59,1,trust-constr,5319.702525675493,0.2124988968905266,0.12802145052828534,0.11963202383006642,0.2440277669781217,3.1106719044849713,0.107771756513708,1.6462657797469076,0.3389810220246979,0.12541451209679036,0.08349566950765346,1,2,2,1,"(2,2)",0.9169158119374896,0.5607149138041643
1.3084177858454384,0.7343552862350804,-1.9296324208958375,-28.19646743005533,0.3870805958901239,0.8552011155771894,0.10110190724907354,-2654.0983981884565,0.0,0.0,0.0,0.0,0.0,0.0,0,L-BFGS-B,5322.196796376913,0.21212868372472693,0.07906322529065761,0.06977933681807659,0.3163606495351578,3.7796945284889034,0.10208877480212765,0.5072168860029522,0.4818542498301346,0.1061779586668757,0.12015625366581541,1,1,2,2,"(2,2)",0.7016570557378596,0.5252539691542741
1.3810087104002486,0.641953593178978,-2.84396582789396,-36.51729648154022,0.49108092190814917,2.196141697895808,7.347873654284854,-2658.416825669201,0.0,0.0,0.0,0.0,0.0,0.0,0,L-BFGS-B,5330.833651338402,0.2108467549364741,0.08854009977832634,0.05453190976544722,0.4082509054863657,2.5717645162044565,0.11803297260597877,1.7476151871673937,7.050407665537739,0.15742166613551326,0.004534340093562592,1,2,1,2,"(2,2)",0.8999024986269978,0.9993564542302656
1.2704418508388853,0.5967277272325945,-1.955120938271062,-33.75544580414674,0.4404285894754668,2.4011562561614426,0.24407613699662772,-2652.851262843801,0.0,0.0,0.0,0.0,0.0,0.0,0,L-BFGS-B,5319.702525687602,0.21249889688872925,0.1280236347247426,0.11963416157039047,0.24402999321942986,3.1107243406963487,0.10777177414514176,1.6462974742565557,0.3389870713258476,0.1254174490891868,0.08349703647223286,1,2,2,1,"(2,2)",0.9169154313347414,0.5607179033265884
1.308240067992755,0.7342203425042986,-1.929728633301863,-28.196560925962523,0.38713707072240033,0.8560993388616069,0.10127301233611256,-2654.0984042035734,1.38,0.83,-1.65,-26.58,0.37,0.59,1,L-BFGS-B,5322.196808407147,0.21212868193913448,0.07906078839454767,0.06982029602725599,0.3164944187461803,3.781378340587319,0.10211410932017322,0.5079833136287373,0.4820186579098868,0.10629986458475763,0.12019621119486502,1,1,2,2,"(2,2)",0.7018450507340475,0.525296636117076
1.3872527257365193,0.643455948684315,-3.0815602390717816,-37.034742822493705,0.4876270666515726,6.384179693951614,20.953069714633344,-2658.5517141530677,1.38,0.83,-1.65,-26.58,0.37,0.59,1,L-BFGS-B,5331.103428306135,0.21080671317788402,0.08801754632015965,0.05447888246928959,0.1325906011085702,2.39561338679635,0.11987932940154218,,6252.783863158111,,4.9690213209708925e-06,1,2,1,2,"(2,2)",0.9983147920720933,0.9999999992053106
1.2703894558658535,0.5966346160165036,-1.955128009983843,-33.75370645881618,0.44048022911056595,2.399810268744734,0.24394922956741488,-2652.85126386815,1.38,0.83,-1.65,-26.58,0.37,0.59,1,L-BFGS-B,5319.7025277363,0.2124988965846505,0.12800442250864993,0.11960184882104596,0.24401134465361055,3.1103044322226987,0.10776829632783896,1.6438340186295133,0.33892715815444147,0.12537038949623275,0.08348356529208813,1,2,2,1,"(2,2)",0.9168128344051394,0.5606866440934808
0.4442888333028645,0.571758456072541,-0.3840988141508278,-0.7206442452288144,0.4289615038047503,1.602861635292482,-1.6580176430524438,-2805.6780870500925,0.0,0.0,0.0,0.0,0.0,0.0,0,Nelder-Mead,5625.356174100185,0.16713212705390912,,0.03210532343850436,0.10532194994178476,0.6741473442818073,0.11416340858136866,,0.3344428715557263,,0.04495555411601236,1,1,2,2,"(2,2)",0.8324179582202632,0.16002828429282975
0.4836978682037514,0.49557972346437773,-0.0392086939322627,-3.659069452545232,0.2619298865941202,-1.9832497323480407,5.067276364944867,-2780.8771750856895,0.0,0.0,0.0,0.0,0.0,0.0,0,Nelder-Mead,5575.754350171379,0.17449429839147457,0.02981467215703881,0.05160068847386063,,,,,,,,1,2,1,2,"(2,2)",0.12097284063984683,0.9937398814739457
